archivo;title;titulo
otros\izal_a.html;Izal – A;Izal – A
otros\izal_cancion_para_nadie.html;Izal – Canción para nadie;Izal – Canción para nadie
otros\izal_conclusion_en_do_para_ukelele.html;Izal – Conclusión en do para ukelele;Izal – Conclusión en do para ukelele
otros\izal_copacabana.html;Izal – Copacabana;Izal – Copacabana
otros\izal_la_mujer_de_verde.html;Izal – La mujer de verde;Izal – La mujer de verde
otros\izal_pausa.html;Izal – Pausa;Izal – Pausa
otros\izal_pequena_gran_revolucion.html;Izal – Pequeña gran revolución;Izal – Pequeña gran revolución
otros\izal_que_bien.html;Izal – Qué bien;Izal – Qué bien
otros\izal_suenos_lentos_aviones_veloces.html;Izal – Sueños lentos, aviones veloces;Izal – Sueños lentos, aviones veloces
otros\jorge_drexler_a.html;Jorge Drexler – A;Jorge Drexler – A
otros\luis_ramiro_a.html;Luis Ramiro – A;Luis Ramiro – A
otros\luis_ramiro_el_monstruo_del_armario.html;Luis Ramiro – El monstruo del armario;Luis Ramiro – El monstruo del armario
otros\luis_ramiro_la_sirena.html;Luis Ramiro – La sirena;Luis Ramiro – La sirena
otros\luis_ramiro_perfecta.html;Luis Ramiro – Perfecta;Luis Ramiro – Perfecta
otros\marwan_a.html;Marwan – A;Marwan – A
otros\mocedades_la_otra_espana.html;Mocedades – La otra España;Mocedades – La otra España
otros\mocedades_tomame_o_dejame.html;Mocedades – Tómame o déjame;Mocedades – Tómame o déjame
otros\pablo_milanes_si_ella_me_faltara_alguna_vez.html;Pablo Milanés – Si ella me faltara alguna vez;Pablo Milanés – Si ella me faltara alguna vez
otros\paco_bello_no_sabes_cuanto_te_he_querido.html;Paco Bello – No sabes cuánto te he querido;Paco Bello – No sabes cuánto te he querido
otros\quique_gonzalez_charo.html;Quique González – Charo;Quique González – Charo
otros\quique_gonzalez_de_haberlo_sabido.html;Quique González – De haberlo sabido;Quique González – De haberlo sabido
otros\quique_gonzalez_la_fabrica.html;Quique González – La fábrica;Quique González – La fábrica
otros\quique_gonzalez_salitre.html;Quique González – Salitre;Quique González – Salitre
otros\quique_gonzalez_sangre_en_el_marcador.html;Quique González – Sangre en el marcador;Quique González – Sangre en el marcador
otros\quique_gonzalez_y_los_conserjes_de_noche.html;Quique González – Y los conserjes de noche;Quique González – Y los conserjes de noche
otros\vicky_gastelo_aunque_no_sea_yo.html;Vicky Gastelo – Aunque no sea yo;Vicky Gastelo – Aunque no sea yo
pereza\4_y_26.html;4 y 26;4 y 26
pereza\aguardiente.html;Aguardiente;Aguardiente
pereza\algo_para_cantar.html;Algo para cantar;Algo para cantar
pereza\amelie.html;Amelie;Amelie
pereza\animales.html;***Animales;***Animales
pereza\aproximacion.html;Aproximación;Aproximación
pereza\astronauta.html;***Astronauta;***Astronauta
pereza\ay.html;***Ay;***Ay
pereza\backstage.html;Backstage;Backstage
pereza\beatles.html;Beatles;Beatles
pereza\bicho.html;Bicho;Bicho
pereza\caramelo.html;Caramelo;Caramelo
pereza\champagne.html;Champagne;Champagne
pereza\como_lo_tienes_tu.html;Como lo tienes tú;Como lo tienes tú
pereza\como_un_huracan.html;Como un huracán;Como un huracán
pereza\contento_por_nada.html;Contento por nada;Contento por nada
pereza\cuatro_rosas.html;Cuatro rosas;Cuatro rosas
pereza\dale_a_la_guitarra.html;Dale a la guitarra;Dale a la guitarra
pereza\dimelo.html;Dímelo;Dímelo
pereza\dos_gotas.html;Dos gotas;Dos gotas
pereza\ella_tiene_un_don.html;Ella tiene un don;Ella tiene un don
pereza\el_bar_de_la_esquina.html;***El bar de la esquina;***El bar de la esquina
pereza\el_dia_que_no_pueda_mas.html;El día que no pueda más;El día que no pueda más
pereza\el_globo.html;***El globo;***El globo
pereza\en_donde_estes.html;En donde estés;En donde estés
pereza\en_una_noche_cualquiera.html;En una noche cualquiera;En una noche cualquiera
pereza\escupe.html;Escupe;Escupe
pereza\esta_lloviendo.html;Está lloviendo;Está lloviendo
pereza\estrella_polar.html;Estrella polar;Estrella polar
pereza\fragiles.html;Frágiles;Frágiles
pereza\grupis.html;Grupis;Grupis
pereza\hazmelo.html;Házmelo;Házmelo
pereza\horoscopo.html;Horóscopo;Horóscopo
pereza\huracan.html;Huracán;Huracán
pereza\lady_madrid.html;Lady Madrid;Lady Madrid
pereza\la_chica_del_tirso.html;La chica del Tirso;La chica del Tirso
pereza\la_noria.html;La noria;La noria
pereza\leones.html;Leones;Leones
pereza\llevame_al_baile.html;Llévame al baile;Llévame al baile
pereza\lo_que_tengo_yo_adentro.html;Lo que tengo yo adentro;Lo que tengo yo adentro
pereza\madrid.html;Madrid;Madrid
pereza\margot.html;Margot;Margot
pereza\matar_al_cartero.html;Matar al cartero;Matar al cartero
pereza\musica_ligera.html;Música ligera;Música ligera
pereza\nina_de_papa.html;Niña de papá;Niña de papá
pereza\pelos_de_punta.html;Pelos de punta;Pelos de punta
pereza\perdona_mona.html;Perdona, mona;Perdona, mona
pereza\pienso_en_aquella_tarde.html;Pienso en aquella tarde;Pienso en aquella tarde
pereza\pirata.html;Pirata;Pirata
pereza\pompa_de_jabon.html;Pompa de jabón;Pompa de jabón
pereza\por_mi_tripa.html;Por mi tripa;Por mi tripa
pereza\princesas.html;Princesas;Princesas
pereza\que_alegria_mas_tonta.html;Qué alegría más tonta;Qué alegría más tonta
pereza\que_parezca_un_accidente.html;Que parezca un accidente;Que parezca un accidente
pereza\quiero_hacerlo_esta_noche_contigo.html;Quiero hacerlo esta noche contigo;Quiero hacerlo esta noche contigo
pereza\senor_kioskero.html;Señor kioskero;Señor kioskero
pereza\seras_aun_la_misma.html;Serás aún la misma;Serás aún la misma
pereza\si_quieres_bailamos.html;Si quieres bailamos;Si quieres bailamos
pereza\superhermanas.html;Superhermanas;Superhermanas
pereza\superjunkies.html;Superjunkies;Superjunkies
pereza\taliban.html;Talibán;Talibán
pereza\tirando_de_tu_corazon.html;Tirando de tu corazón;Tirando de tu corazón
pereza\todo.html;Todo;Todo
pereza\todo_saldra_bien.html;Todo saldrá bien;Todo saldrá bien
pereza\tristeza.html;Tristeza;Tristeza
pereza\tu_infierno.html;Tu infierno;Tu infierno
pereza\tu_que_tal.html;Tú qué tal;Tú qué tal
pereza\tv.html;TV;TV
pereza\una_china_en_mi_zapato.html;Una china en mi zapato;Una china en mi zapato
pereza\violento_amor.html;Violento amor;Violento amor
pereza\voy_a_comerte.html;Voy a comerte;Voy a comerte
pereza\windsor.html;Windsor;Windsor
pereza\yeah.html;Yeah;Yeah
pereza\yo_naci_para_estar_en_un_conjunto.html;Yo nací para estar en un conjunto;Yo nací para estar en un conjunto
pereza\yo_solo_quiero.html;Yo sólo quiero;Yo sólo quiero
revolver\21_gramos.html;21 gramos;21 gramos
revolver\5_estrellas.html;5 estrellas;5 estrellas
revolver\adictos_a_la_euforia.html;Adictos a la euforia;Adictos a la euforia
revolver\al_infierno_sin_papeles.html;Al infierno sin papeles;Al infierno sin papeles
revolver\angeles_de_alas_sucias.html;Ángeles de alas sucias;Ángeles de alas sucias
revolver\asustando_al_huracan.html;Asustando al huracán;Asustando al huracán
revolver\ay_amor.html;Ay, amor;Ay, amor
revolver\azul.html;Azul;Azul
revolver\a_contratiempo.html;A contratiempo;A contratiempo
revolver\babilonia.html;Babilonia;Babilonia
revolver\bailando_en_la_frontera.html;Bailando en la frontera;Bailando en la frontera
revolver\balas_perdidas.html;Balas perdidas;Balas perdidas
revolver\beguine.html;Beguine;Beguine
revolver\besare_el_suelo.html;Besaré al suelo;Besaré al suelo
revolver\besos_de_contrabando.html;Besos de contrabando;Besos de contrabando
revolver\blackjack.html;BlackJack;BlackJack
revolver\cada_dia.html;BlackJack;BlackJack
revolver\calle_mayor.html;Calle Mayor;Calle Mayor
revolver\calor_y_tiempo.html;Calle Mayor;Calle Mayor
revolver\camisa_de_once_varas_(seguridad_social).html;Camisa de once varas (Seguridad Social);Camisa de once varas (Seguridad Social)
revolver\campanilla.html;Campanilla;Campanilla
revolver\carreteras_secundarias.html;Carreteras secundarias;Carreteras secundarias
revolver\cerrare_los_ojos.html;Cerraré los ojos;Cerraré los ojos
revolver\clarisa.html;Clarisa;Clarisa
revolver\como_unico_equipaje.html;Como único equipaje;Como único equipaje
revolver\cuando_todo_va_bien.html;Cuando todo va bien;Cuando todo va bien
revolver\dame.html;Dame;Dame
revolver\dentro_de_ti.html;Dentro de ti;Dentro de ti
revolver\deprimencia.html;Dentro de ti;Dentro de ti
revolver\desde_que_no_estas_aqui.html;Desde que no estás aquí;Desde que no estás aquí
revolver\dias_de_vino_y_rosas.html;Desde que no estás aquí;Desde que no estás aquí
revolver\dime_como_lo_hago_yo.html;Dime cómo lo hago yo;Dime cómo lo hago yo
revolver\dime_por_que.html;Dime por qué;Dime por qué
revolver\donde_esta_el_final.html;Dónde está el final;Dónde está el final
revolver\dos_por_dos.html;Dos por dos;Dos por dos
revolver\duro_de_llevar.html;Duro de llevar;Duro de llevar
revolver\ella_es_y_sera_todo_para_mi.html;Ella es y será todo para mí;Ella es y será todo para mí
revolver\el_aire_sabe_a_veneno.html;El aire sabe a veneno;El aire sabe a veneno
revolver\el_anillo_de_boda.html;El anillo de boda;El anillo de boda
revolver\el_boulevard_de_los_idiotas.html;El boulevard de los idiotas;El boulevard de los idiotas
revolver\el_canal.html;El canal;El canal
revolver\el_dorado.html;El Dorado;El Dorado
revolver\el_mismo_hombre.html;El mismo hombre;El mismo hombre
revolver\el_otoño_esta_al_caer.html;El otoño está al caer;El otoño está al caer
revolver\el_peligro.html;El peligro;El peligro
revolver\el_roce_de_tu_piel.html;El roce de tu piel;El roce de tu piel
revolver\el_unico_espectador.html;El único espectador;El único espectador
revolver\entre_las_nubes.html;Entre las nubes;Entre las nubes
revolver\en_blanco_y_negro.html;En blanco y negro;En blanco y negro
revolver\en_un_mundo_de_dos.html;En un mundo de dos;En un mundo de dos
revolver\esclavo_de_tu_amor.html;Esclavo de tu amor;Esclavo de tu amor
revolver\ese_viejo_rock_n_roll.html;Ese viejo rock'n'roll;Ese viejo rock'n'roll
revolver\eso_de_saber.html;Eso de saber;Eso de saber
revolver\esperando_mi_tren.html;Esperando mi tren;Esperando mi tren
revolver\esta_ciudad.html;Esta ciudad;Esta ciudad
revolver\esta_guerra_tuya_y_mia.html;Esta guerra tuya y mía;Esta guerra tuya y mía
revolver\esta_noche.html;Esta noche;Esta noche
revolver\esta_noche_a_mis_pies.html;Esta noche a mis pies;Esta noche a mis pies
revolver\esta_noche_tengo_mas_de_lo_normal.html;Esta noche tengo más de lo normal;Esta noche tengo más de lo normal
revolver\es_lo_que_es_hay_lo_que_hay.html;Es lo que es, hay lo que hay;Es lo que es, hay lo que hay
revolver\es_mejor_caminar.html;Es mejor caminar;Es mejor caminar
revolver\faro_de_lisboa.html;Faro de Lisboa;Faro de Lisboa
revolver\frio_en_madrid.html;Frío en Madrid;Frío en Madrid
revolver\fuera_de_lugar.html;Fuera de lugar;Fuera de lugar
revolver\gargantas_y_desfiladeros.html;Gargantas y desfiladeros;Gargantas y desfiladeros
revolver\hay_besos.html;Hay besos;Hay besos
revolver\he_de_salir.html;He de salir;He de salir
revolver\intentando_vadear.html;Intentando vadear;Intentando vadear
revolver\johnny_and_mary.html;Johnny and Mary;Johnny and Mary
revolver\las_armas_rotas.html;Las armas rotas;Las armas rotas
revolver\las_calles_de_madrid.html;Las calles de Madrid;Las calles de Madrid
revolver\la_carretera.html;La carretera;La carretera
revolver\la_flor_mas_bella.html;La flor más bella;La flor más bella
revolver\la_fortuna.html;La fortuna;La fortuna
revolver\la_luna_se_esconde.html;La luna se esconde;La luna se esconde
revolver\la_moral_mora_en_la_moneda.html;La moral mora en la moneda;La moral mora en la moneda
revolver\la_rosa_y_la_cruz.html;La rosa y la cruz;La rosa y la cruz
revolver\la_sonrisa_de_tu_boca.html;La sonrisa de tu boca;La sonrisa de tu boca
revolver\la_vanidad.html;La vanidad;La vanidad
revolver\lecho_de_rosas.html;Lecho de rosas;Lecho de rosas
revolver\lisa_y_fran.html;Lisa y Fran;Lisa y Fran
revolver\los_surcos_de_tu_espalda.html;Los surcos de tu espalda;Los surcos de tu espalda
revolver\los_tres_caballeros.html;Los tres caballeros;Los tres caballeros
revolver\lo_que_ana_ve.html;Lo que Ana ve;Lo que Ana ve
revolver\lo_que_me_hace_feliz.html;Lo que me hace feliz;Lo que me hace feliz
revolver\magnolia_lane.html;Magnolia Lane;Magnolia Lane
revolver\malvarrosa_affaire.html;Malvarrosa Affaire;Malvarrosa Affaire
revolver\manos_arriba.html;Manos arriba;Manos arriba
revolver\marineros_varados.html;Marineros varados;Marineros varados
revolver\mas_por_ellos_que_por_mi.html;Más por ellos que por mí;Más por ellos que por mí
revolver\mas_tequila.html;Más tequila;Más tequila
revolver\mestizo.html;Mestizo;Mestizo
revolver\me_cuesta_tanto_olvidarte.html;Me cuesta tanto olvidarte;Me cuesta tanto olvidarte
revolver\mi_norte_siempre_apunta_al_sur.html;Mi norte siempre apunta al sur;Mi norte siempre apunta al sur
revolver\mi_rendicion.html;Mi rendición;Mi rendición
revolver\mi_revolucion.html;Mi revolución;Mi revolución
revolver\muevete.html;Muévete;Muévete
revolver\mustang_shelby.html;Mustang Shelby;Mustang Shelby
revolver\nacidos_para_la_gloria.html;Nacidos para la gloria;Nacidos para la gloria
revolver\no_escupas_al_suelo.html;No escupas al suelo;No escupas al suelo
revolver\no_hay_mañanas.html;No hay mañanas;No hay mañanas
revolver\no_me_hace_falta_mas.html;No me hace falta más;No me hace falta más
revolver\no_va_mas.html;No va más;No va más
revolver\odio.html;Odio;Odio
revolver\olas_muertas.html;Olas muertas;Olas muertas
revolver\olvide_nuestra_cancion.html;Olvidé nuestra canción;Olvidé nuestra canción
revolver\palabras_sin_nombre.html;Palabras sin nombre;Palabras sin nombre
revolver\perdi_lo_que_no_tuve.html;Perdí lo que no tuve;Perdí lo que no tuve
revolver\petroleros.html;Petroleros;Petroleros
revolver\planeta_prozac.html;Planeta Prozac;Planeta Prozac
revolver\por_un_beso.html;Por un beso;Por un beso
revolver\premios_y_cicatrices.html;Premios y cicatrices;Premios y cicatrices
revolver\princesas_o_mendigos.html;Princesas o mendigos;Princesas o mendigos
revolver\que_sera.html;Qué será;Qué será
revolver\quien_esta_mas_vivo_de_los_dos.html;Quién está más vivo de los dos;Quién está más vivo de los dos
revolver\quiero_aire.html;Quiero aire;Quiero aire
revolver\reconozco_la_frontera.html;Reconozco la frontera;Reconozco la frontera
revolver\reir_y_llorar.html;Reír y llorar;Reír y llorar
revolver\respirando_bajo_el_agua.html;Respirando bajo el agua;Respirando bajo el agua
revolver\revolucion.html;Revolución;Revolución
revolver\rodrigo_y_teresa.html;Rodrigo y Teresa;Rodrigo y Teresa
revolver\rosario.html;Rosario;Rosario
revolver\santa_maria.html;Santa María;Santa María
revolver\san_francisco.html;San Francisco;San Francisco
revolver\san_pedro.html;San Pedro;San Pedro
revolver\sara.html;Sara;Sara
revolver\sin_barcelona.html;Sin Barcelona;Sin Barcelona
revolver\si_es_por_ti.html;Si es por ti;Si es por ti
revolver\si_es_tan_solo_amor.html;Si es tan sólo amor;Si es tan sólo amor
revolver\si_no_hubiera_que_correr.html;Si no hubiera que correr;Si no hubiera que correr
revolver\sol_de_invierno.html;Sol de invierno;Sol de invierno
revolver\soy_como_soy.html;Soy como soy;Soy como soy
revolver\teamotemor.html;Teamotemor;Teamotemor
revolver\tengo_mi_tiempo.html;Tengo mi tiempo;Tengo mi tiempo
revolver\ten_fe_en_mi.html;Ten fe en mí;Ten fe en mí
revolver\te_quiero.html;Te quiero;Te quiero
revolver\tiempo_pequeño.html;Tiempo pequeño;Tiempo pequeño
revolver\tierra_baldia.html;Tierra baldía;Tierra baldía
revolver\todos_somos_capitanes.html;Todos somos capitanes;Todos somos capitanes
revolver\todo_aquello_que_jamas_sere.html;Todo aquello que jamás seré;Todo aquello que jamás seré
revolver\todo_a_pulmon.html;Todo a pulmón;Todo a pulmón
revolver\todo_lo_que_no_se_llora_no_se_limpia.html;Todo lo que no se llora no se limpia;Todo lo que no se llora no se limpia
revolver\tu_camino.html;Tu camino;Tu camino
revolver\tu_cancion.html;Tu canción;Tu canción
revolver\tu_lado_bueno.html;Tu lado bueno;Tu lado bueno
revolver\tu_noche_y_la_mia.html;Tu noche y la mía;Tu noche y la mía
revolver\tu_y_yo.html;Tú y yo;Tú y yo
revolver\una_guerra_feliz.html;Una guerra feliz;Una guerra feliz
revolver\una_lluvia_violenta_y_salvaje.html;Una lluvia violenta y salvaje;Una lluvia violenta y salvaje
revolver\viaje_a_ninguna_parte.html;Viaje a ninguna parte;Viaje a ninguna parte
revolver\vidas.html;Vidas;Vidas
revolver\ya_no_hay_dos_para_cenar.html;Ya no hay dos para cenar;Ya no hay dos para cenar
revolver\y_ahora_que.html;Y ahora que;Y ahora que
revolver\y_del_hombre.html;Y del hombre;Y del hombre
revolver\y_pasa_el_tiempo.html;Y pasa el tiempo;Y pasa el tiempo
sidecars\180_grados.html;180 grados;180 grados
sidecars\adios.html;Adiós;Adiós
sidecars\amasijo_de_huesos.html;Amasijo de huesos;Amasijo de huesos
sidecars\anfetamina.html;Anfetamina;Anfetamina
sidecars\apaga_y_vamonos.html;Apaga y vámonos;Apaga y vámonos
sidecars\atrapado_en_el_tiempo.html;Atrapado en el tiempo;Atrapado en el tiempo
sidecars\a_dia_de_hoy.html;A día de hoy;A día de hoy
sidecars\caballos_salvajes.html;Caballos salvajes;Caballos salvajes
sidecars\canciones_prohibidas.html;Canciones prohibidas;Canciones prohibidas
sidecars\caradura.html;Caradura;Caradura
sidecars\caras_largas.html;Caras largas;Caras largas
sidecars\chavales_de_instituto.html;Chavales de instituto;Chavales de instituto
sidecars\chica_facil.html;Chica fácil;Chica fácil
sidecars\conmigo_o_sin_mi.html;Conmigo o sin mí;Conmigo o sin mí
sidecars\contra_las_cuerdas.html;Contra las cuerdas;Contra las cuerdas
sidecars\costa_da_morte.html;Costa da Morte;Costa da Morte
sidecars\cremalleras.html;Cremalleras;Cremalleras
sidecars\cuando_caigas_en_shock.html;Cuando caigas en shock;Cuando caigas en shock
sidecars\dejalo_sangrar.html;Déjalo sangrar;Déjalo sangrar
sidecars\despues_del_fin.html;Después del fin;Después del fin
sidecars\detras_de_los_focos.html;Detrás de los focos;Detrás de los focos
sidecars\de_pelicula.html;De película;De película
sidecars\dinamita.html;Dinamita;Dinamita
sidecars\el_camino_facil.html;El camino fácil;El camino fácil
sidecars\el_jugador.html;El jugador;El jugador
sidecars\el_monstruo_final.html;El monstruo final;El monstruo final
sidecars\el_pasaje_del_terror.html;El pasaje del terror;El pasaje del terror
sidecars\el_peor_verano.html;El peor verano;El peor verano
sidecars\el_ruido_de_la_calle.html;El ruido de la calle;El ruido de la calle
sidecars\fantasias_delirantes.html;Fantasías delirantes;Fantasías delirantes
sidecars\fan_de_ti.html;Fan de ti;Fan de ti
sidecars\filomena.html;Filomena;Filomena
sidecars\fuego_cruzado.html;Fuego cruzado;Fuego cruzado
sidecars\galaxia.html;Galaxia;Galaxia
sidecars\garabatos.html;Garabatos;Garabatos
sidecars\golpe_de_suerte.html;Golpe de suerte;Golpe de suerte
sidecars\hasta_el_final.html;Hasta el final;Hasta el final
sidecars\la_estampida.html;La estampida;La estampida
sidecars\la_noche_en_calma.html;La noche en calma;La noche en calma
sidecars\la_tormenta.html;La tormenta;La tormenta
sidecars\llueve.html;Llueve;Llueve
sidecars\locos_de_atar.html;Locos de atar;Locos de atar
sidecars\looping_star.html;Looping star;Looping star
sidecars\los_amantes.html;Los amantes;Los amantes
sidecars\luz_de_gas.html;Luz de gas;Luz de gas
sidecars\merecido.html;Merecido;Merecido
sidecars\microinfarto.html;Microinfarto;Microinfarto
sidecars\mienteme.html;Miénteme;Miénteme
sidecars\modo_avion.html;Modo avión;Modo avión
sidecars\mundo_fragil.html;Mundo frágil;Mundo frágil
sidecars\mundo_imperfecto.html;Mundo imperfecto;Mundo imperfecto
sidecars\muy_bien.html;Muy bien;Muy bien
sidecars\noches_de_guardia.html;Noches de guardia;Noches de guardia
sidecars\noche_en_velero.html;Noche en velero;Noche en velero
sidecars\no_vuelvas.html;No vuelvas;No vuelvas
sidecars\olvidame.html;Olvídame;Olvídame
sidecars\pastillas_de_colores.html;Pastillas de colores;Pastillas de colores
sidecars\plan_b.html;Plan B;Plan B
sidecars\polvorosa.html;Polvorosa;Polvorosa
sidecars\precipicios.html;Precipicios;Precipicios
sidecars\quien_sabe.html;Quién sabe;Quién sabe
sidecars\ruido_de_fondo.html;Ruido de fondo;Ruido de fondo
sidecars\salir_a_matar.html;Salir a matar;Salir a matar
sidecars\si_nada_sale_bien.html;Si nada sale bien;Si nada sale bien
sidecars\soledad.html;Soledad;Soledad
sidecars\tan_rapido.html;Tan rápido;Tan rápido
sidecars\todos_mis_males.html;Todos mis males;Todos mis males
sidecars\todo_es_mentira.html;Todo es mentira;Todo es mentira
sidecars\todo_lo_demas.html;Todo lo demás;Todo lo demás
sidecars\trece.html;Trece;Trece
sidecars\tu_mejor_pesadilla.html;Tu mejor pesadilla;Tu mejor pesadilla
sidecars\una_eternidad.html;Una eternidad;Una eternidad
sidecars\un_tipo_elegante.html;Un tipo elegante;Un tipo elegante
sidecars\volando_en_circulos.html;Volando en círculos;Volando en círculos
sidecars\voyeur.html;Voyeur;Voyeur
sidecars\ya_no_tengo_problemas.html;Ya no tengo problemas;Ya no tengo problemas
